epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,141.696,0.56929,1.35067,1.12315,0.9377,1,0.995,0.92037,0.41482,1.58421,0.7308,0.00092825,0.00092825,0.00092825
15,150.512,0.84481,1.49936,1.34278,0.9377,1,0.995,0.92037,0.41482,1.58421,0.7308,0.0009035,0.0009035,0.0009035
16,159.529,0.57053,1.28974,1.11881,0.78112,1,0.995,0.92037,0.43216,1.72306,0.76154,0.00087875,0.00087875,0.00087875
17,168.901,0.50538,1.24351,1.1089,0.94974,1,0.995,0.94525,0.38247,1.62771,0.70306,0.000854,0.000854,0.000854
18,178.391,0.48834,1.11433,1.04597,0.77139,1,0.995,0.84575,0.3698,2.54873,0.66219,0.00082925,0.00082925,0.00082925
19,187.614,0.457,1.07718,1.05251,0.77139,1,0.995,0.84575,0.3698,2.54873,0.66219,0.0008045,0.0008045,0.0008045
20,196.806,0.49791,1.23674,1.03382,0.89502,1,0.995,0.995,0.30371,2.14291,0.63269,0.00077975,0.00077975,0.00077975
21,206.087,0.52823,1.15531,1.0943,0.97458,1,0.995,0.995,0.29278,1.51412,0.61906,0.000755,0.000755,0.000755
22,215.103,0.50861,1.09554,1.06483,0.97458,1,0.995,0.995,0.29278,1.51412,0.61906,0.00073025,0.00073025,0.00073025
23,224.07,0.44847,0.99161,1.05908,0.97341,1,0.995,0.995,0.27572,1.1501,0.61738,0.0007055,0.0007055,0.0007055
24,233.066,0.45105,1.09429,1.06133,0.96315,1,0.995,0.97013,0.2817,1.0761,0.61601,0.00068075,0.00068075,0.00068075
25,242.074,0.4549,1.02148,1.00541,0.96315,1,0.995,0.97013,0.2817,1.0761,0.61601,0.000656,0.000656,0.000656
26,250.637,0.41145,0.97876,1.00609,0.98557,1,0.995,0.92037,0.3461,1.05081,0.62028,0.00063125,0.00063125,0.00063125
27,259.744,0.37237,0.86928,0.98748,0.98352,1,0.995,0.92037,0.36464,1.18957,0.61057,0.0006065,0.0006065,0.0006065
28,270.928,0.42795,1.01141,1.01808,0.98352,1,0.995,0.92037,0.36464,1.18957,0.61057,0.00058175,0.00058175,0.00058175
29,280.296,0.42523,0.92389,1.02673,0.96328,1,0.995,0.995,0.30316,1.2158,0.5731,0.000557,0.000557,0.000557
30,289.702,0.42434,1.01575,1.03665,0.94805,1,0.995,0.97013,0.25955,1.14457,0.56123,0.00053225,0.00053225,0.00053225
1,15.3916,1.51972,3.33045,2.09752,0.00333,1,0.57499,0.36081,0.94962,3.84203,1.99513,0.00015,0.00015,0.00015
2,25.7695,1.20833,3.12509,1.73929,0.00368,1,0.65762,0.52136,0.66847,3.78681,1.60056,0.000306312,0.000306312,0.000306312
3,36.0484,1.00559,2.60583,1.51863,0.0043,1,0.72869,0.56978,0.88788,3.72109,1.84398,0.00045619,0.00045619,0.00045619
4,46.1882,0.85311,2.29327,1.43145,0.00477,1,0.995,0.77527,0.78678,3.20994,1.50069,0.000599632,0.000599632,0.000599632
5,56.4653,0.81027,1.89561,1.30017,0.67476,1,0.995,0.82087,0.84119,2.72698,1.52472,0.00073664,0.00073664,0.00073664
6,66.8377,0.7582,1.84358,1.27235,0.90727,1,0.995,0.75717,1.14439,2.71912,1.73554,0.000867213,0.000867213,0.000867213
7,76.85,0.71933,1.64717,1.23985,0.79035,0.75,0.995,0.83331,0.70428,2.42809,1.16428,0.00099135,0.00099135,0.00099135
8,86.9663,0.70339,1.48944,1.26368,0.74126,1,0.995,0.92037,0.64058,2.57015,1.15697,0.00107675,0.00107675,0.00107675
9,96.941,0.63733,1.33197,1.165,0.74126,1,0.995,0.92037,0.64058,2.57015,1.15697,0.001052,0.001052,0.001052
10,107.143,0.5625,1.54326,1.14521,0.71813,1,0.995,0.8955,0.60315,6.19813,1.09519,0.00102725,0.00102725,0.00102725
11,117.55,0.55773,1.34426,1.12918,0.98292,1,0.995,0.94525,0.4384,1.56731,0.81179,0.0010025,0.0010025,0.0010025
12,127.968,0.54225,1.26234,1.07284,0.98494,1,0.995,0.97013,0.33969,1.74993,0.71216,0.00097775,0.00097775,0.00097775
13,138.267,0.59613,1.33553,1.12607,0.94466,1,0.995,0.94525,0.41107,1.59699,0.74922,0.000953,0.000953,0.000953
